Interaction_ID,Record_Version,Customer_ID,Product_ID,Event_Time,Available_At,Updated_At,Interaction_Type,Summary_Text,Next_Action,Record_Status,Source_System,Sales_Rep_ID
INT-0000415,1,C_119382,P_328965,2021-05-30,2021-06-01,2021-06-01,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: فوری؛ کد پیگیری 0566.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000416,1,C_119382,,2021-06-17,2021-06-19,2021-06-19,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0567. اطلاعات تکمیلی در نسخه دوم ثبت شد.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000417,1,C_119382,P_913911,2020-02-24,2020-02-25,2020-02-25,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0570.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000417,2,C_119382,P_913911,2020-02-24,2020-02-25,2020-02-28,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0570. اطلاعات تکمیلی ثبت شد.,پیگیری تلفنی,اصلاح,CRM_ACTIVITIES,REP-002
INT-0000418,1,C_119382,,2020-08-26,2020-08-28,2020-08-28,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0572.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000419,1,C_119382,P_RARE_Product_Family_04,2021-08-13,2021-08-14,2021-08-14,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0575.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000420,1,C_119382,P_989949,2021-05-27,2021-05-29,2021-05-29,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: جلسه قیمت؛ فوریت: فوری؛ کد پیگیری 0577.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000421,1,C_120272,,2021-10-10,2021-10-10,2021-10-10,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0572.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000422,1,C_120272,,2021-08-27,2021-08-28,2021-08-28,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0575.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000423,1,C_120272,P_RARE_Product_Family_03,2021-09-27,2021-09-29,2021-09-29,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: جلسه قیمت؛ فوریت: فوری؛ کد پیگیری 0577.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000424,1,C_120272,P_RARE_Product_Family_03,2021-08-14,2021-08-14,2021-08-14,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0580.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000425,1,C_120272,P_RARE_Product_Family_03,2021-09-14,2021-09-15,2021-09-15,پیگیری سفارش,زمان,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000426,1,C_121437,,2021-01-15,2021-01-17,2021-01-17,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0578.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000427,1,C_121437,,2021-03-31,2021-03-31,2021-03-31,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بازدید فنی؛ فوریت: مهم؛ کد پیگیری 0581.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000428,1,C_121437,P_036240,2020-12-26,2020-12-27,2020-12-27,پیگیری سفارش,زمان,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000429,1,C_121437,P_RARE_Product_Family_03,2021-03-18,2021-03-20,2021-03-20,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: بازدید فنی؛ فوریت: مهم؛ کد پیگیری 0585.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000430,1,C_121437,P_RARE_Product_Family_03,2021-04-24,2021-04-24,2021-04-24,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0588.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000430,2,C_121437,P_RARE_Product_Family_03,2021-04-24,2021-04-24,2021-05-02,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0588. اطلاعات تکمیلی ثبت شد.,جلسه قیمت,اصلاح,CRM_ACTIVITIES,REP-003
INT-0000431,1,C_122750,P_RARE_Product_Family_01,2021-07-14,2021-07-16,2021-07-16,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0584.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000432,1,C_122750,P_RARE_Product_Family_04,2021-01-01,2021-01-02,2021-01-02,پیگیری سفارش,زمان,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000433,1,C_122750,P_RARE_Product_Family_04,2020-12-01,2020-12-01,2020-12-01,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0589.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000434,1,C_122750,P_RARE_Product_Family_01,2021-07-19,2021-07-20,2021-07-20,پیگیری سفارش,زمان,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000435,1,C_122750,P_RARE_Product_Family_04,2022-02-23,2022-02-23,2022-02-23,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0594.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000436,1,C_123245,P_RARE_Product_Family_02,2020-04-26,2020-04-28,2020-04-28,وصول مطالبات,زمان,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000437,1,C_123245,,2020-03-26,2020-03-27,2020-03-27,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0593.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000438,1,C_123245,P_RARE_Product_Family_02,2020-03-18,2020-03-20,2020-03-20,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0595.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000439,1,C_123245,,2020-05-01,2020-05-02,2020-05-02,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0597.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000440,1,C_123245,,2020-11-09,2020-11-10,2020-11-10,پیگیری سفارش,زمان,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000441,1,C_126481,,2020-06-27,2020-06-29,2020-06-29,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0596.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000442,1,C_126481,P_RARE_Product_Family_03,2020-02-18,2020-02-20,2020-02-20,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0598.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000443,1,C_126481,P_679203,2020-05-08,2020-05-08,2020-05-08,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0600.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000444,1,C_126481,,2020-03-23,2020-03-23,2020-03-23,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: ارسال نمونه؛ فوریت: فوری؛ کد پیگیری 0602.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000445,1,C_126481,P_RARE_Product_Family_03,2020-04-09,2020-04-10,2020-04-10,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0604.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000446,1,C_126481,P_376553,2020-05-03,2020-05-04,2020-05-04,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0606.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000447,1,C_126481,,2020-06-24,2020-06-26,2020-06-26,پیگیری سفارش,زمان,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000448,1,C_126481,P_505314,2020-04-24,2020-04-24,2020-04-24,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0613.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000449,1,C_126481,P_520245,2020-06-01,2020-06-02,2020-06-02,وصول مطالبات,مشتری برنامه تسویه مرحله,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000450,1,C_129349,,2020-05-22,2020-05-24,2020-05-24,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0605.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000451,1,C_129349,P_986783,2020-07-05,2020-07-06,2020-07-06,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0607.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000451,2,C_129349,P_986783,2020-07-05,2020-07-06,2020-07-10,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0607. اطلاعات تکمیلی ثبت شد.,بدون اقدام,اصلاح,CRM_ACTIVITIES,REP-005
INT-0000452,1,C_129349,P_986783,2020-07-23,2020-07-24,2020-07-24,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0610.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000453,1,C_129349,P_986783,2020-06-22,2020-06-22,2020-06-22,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0614.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000454,1,C_129349,P_986783,2020-07-10,2020-07-10,2020-07-10,وصول مطالبات,زمان,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000455,1,C_134962,P_682478,2021-11-02,2021-11-04,2021-11-04,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0613.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000456,1,C_134962,,2020-05-30,2020-06-01,2020-06-01,وصول مطالبات,مشتری برنامه تسویه مرحله,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000457,1,C_134962,,2020-02-26,2020-02-27,2020-02-27,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0619.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000458,1,C_134962,P_RARE_Product_Family_03,2020-06-29,2020-06-29,2020-06-29,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0621.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000459,1,C_134962,P_319957,2020-05-15,2020-05-17,2020-05-17,وصول مطالبات,مشتری برنامه تسویه مرحله,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000460,1,C_135878,P_370788,2020-06-04,2020-06-04,2020-06-04,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0620.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000461,1,C_135878,P_512345,2020-11-24,2020-11-25,2020-11-25,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0622.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000462,1,C_135878,P_RARE_Product_Family_03,2021-05-14,2021-05-16,2021-05-16,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0625.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000462,2,C_135878,P_RARE_Product_Family_03,2021-05-14,2021-05-16,2021-05-23,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0625. اطلاعات تکمیلی ثبت شد.,پیگیری تلفنی,اصلاح,CRM_ACTIVITIES,REP-008
INT-0000463,1,C_135878,,2020-12-09,2020-12-09,2020-12-09,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: مهم؛ کد پیگیری 0628.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000464,1,C_135878,P_512345,2020-11-19,2020-11-21,2020-11-21,وصول مطالبات,مشتری برنامه تسویه مرحله,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000465,1,C_137881,,2022-03-27,2022-03-27,2022-03-27,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0627.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000466,1,C_137881,,2022-02-11,2022-02-12,2022-02-12,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0629.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000467,1,C_137881,P_565736,2022-03-14,2022-03-16,2022-03-16,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0632.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000468,1,C_137881,,2022-03-22,2022-03-23,2022-03-23,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0634.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000469,1,C_137881,,2022-04-22,2022-04-24,2022-04-24,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: ارسال نمونه؛ فوریت: مهم؛ کد پیگیری 0636.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000470,1,C_144468,P_033867,2020-04-27,2020-04-28,2020-04-28,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0633.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000471,1,C_144468,P_RARE_Product_Family_03,2020-04-15,2020-04-15,2020-04-15,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0635.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000472,1,C_144468,,2020-12-20,2020-12-22,2020-12-22,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0638.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000473,1,C_144468,,2021-02-23,2021-02-24,2021-02-24,پیگیری سفارش,زمان,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000474,1,C_144468,P_964842,2021-01-09,2021-01-09,2021-01-09,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0644.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000475,1,C_144468,P_RARE_Product_Family_03,2020-03-04,2020-03-06,2020-03-06,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0647.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000476,1,C_144468,P_964842,2020-06-12,2020-06-13,2020-06-13,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0650.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000477,1,C_144468,P_964842,2020-02-11,2020-02-11,2020-02-11,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0652.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000478,1,C_144468,,2020-11-26,2020-11-28,2020-11-28,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0656.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000479,1,C_147153,P_RARE_Product_Family_03,2021-10-04,2021-10-05,2021-10-05,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0646.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000479,2,C_147153,P_RARE_Product_Family_03,2021-10-04,2021-10-05,2021-10-14,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0646. اطلاعات تکمیلی ثبت شد.,پیگیری تلفنی,اصلاح,CRM_ACTIVITIES,REP-005
INT-0000480,1,C_147153,,2022-04-06,2022-04-07,2022-04-07,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: بازدید فنی؛ فوریت: فوری؛ کد پیگیری 0649.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000481,1,C_147153,,2022-02-26,2022-02-28,2022-02-28,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0651.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000482,1,C_147153,P_RARE_Product_Family_03,2022-04-19,2022-04-21,2022-04-21,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0653.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000483,1,C_147153,P_RARE_Product_Family_03,2021-12-26,2021-12-26,2021-12-26,پیگیری سفارش,زمان,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000483,2,C_147153,P_RARE_Product_Family_03,2021-12-26,2021-12-26,2021-12-30,پیگیری سفارش,زمان,بازدید فنی,اصلاح,CRM_ACTIVITIES,REP-005
INT-0000484,1,C_147153,P_RARE_Product_Family_03,2021-08-06,2021-08-08,2021-08-08,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0661.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000485,1,C_147153,,2020-11-30,2020-11-30,2020-11-30,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: ارسال نمونه؛ فوریت: مهم؛ کد پیگیری 0666.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000486,1,C_147153,P_RARE_Product_Family_03,2021-08-19,2021-08-19,2021-08-19,وصول مطالبات,زمان,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000487,1,C_147980,P_RARE_Product_Family_04,2020-08-23,2020-08-24,2020-08-24,پیگیری سفارش,زمان,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000488,1,C_147980,P_RARE_Product_Family_04,2020-08-28,2020-08-28,2020-08-28,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0661.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000489,1,C_147980,P_RARE_Product_Family_04,2020-07-15,2020-07-16,2020-07-16,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: ارسال نمونه؛ فوریت: مهم؛ کد پیگیری 0666.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000490,1,C_147980,,2020-08-21,2020-08-23,2020-08-23,وصول مطالبات,زمان,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000491,1,C_147980,,2020-07-21,2020-07-22,2020-07-22,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0672.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000492,1,C_150182,P_706427,2020-10-24,2020-10-25,2020-10-25,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0668.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000493,1,C_150182,P_706427,2020-09-23,2020-09-23,2020-09-23,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: بازدید فنی؛ فوریت: فوری؛ کد پیگیری 0671.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000494,1,C_150182,P_441295,2021-07-30,2021-07-31,2021-07-31,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: بازدید فنی؛ فوریت: فوری؛ کد پیگیری 0673.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000495,1,C_150182,,2021-09-12,2021-09-12,2021-09-12,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0676.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000496,1,C_150182,P_706427,2020-11-19,2020-11-19,2020-11-19,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0679.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000497,1,C_150182,P_706427,2020-10-19,2020-10-21,2020-10-21,وصول مطالبات,مشتری برنامه تسویه مرحله,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000498,1,C_150182,P_947367,2020-08-04,2020-08-05,2020-08-05,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0684.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000499,1,C_150182,P_947367,2020-09-17,2020-09-17,2020-09-17,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0687.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000500,1,C_150182,P_989949,2021-10-04,2021-10-06,2021-10-06,وصول مطالبات,مشتری برنامه تسویه مرحله,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
